method,dataset,recall,qps,p50_us,p95_us,p99_us,mean_us,n_queries,json_path
hnswlib,sift1m,0.9827600000000001,2772.9363479937156,358.833,500.25205,662.7986700000001,360.6285448,10000,results/phase2/hnsw_sift1m.json
faiss_index_lsh_fallback,sift1m,0.23861000000000004,448.52757936101654,2204.458,2307.75,2413.29492,2229.5173051,10000,results/phase2/faiss_lsh_sift1m.json
