policy,stream_size,kept,retention_rate,throughput_items_per_sec,total_time_s,recall@10_mean,recall@10_p10,recall@10_p50,recall@10_p90,recall@10_zero_frac,recall@1_mean,recall@1_p10,recall@1_zero_frac,recall@100_mean,recall@100_p10,recall@100_zero_frac,coverage@10,coverage@100,mean_us,p50_us,p95_us,p99_us,p999_us,max_us,tail_ratio,k_center_radius,clusters_covered,coverage_fraction,cluster_entropy,mean_intra_set_distance,embeddings_mb,hash_metadata_mb,bucket_counts_mb,total_mb,overhead_fraction,kept_set_size,stream,budget_fraction,budget_B,policy_seen,policy_discarded,policy_active_buckets,policy_mean_bucket_occupancy,policy_max_bucket_occupancy
Stream-LSH,2000000,200000,0.1,26636.4617281538,75.0850477218628,0.1783,0.0,0.2,0.3,0.1384,0.1118,0.0,0.8882,0.185216,0.14,0.0,0.178235659556844,0.1846153424372109,37.277054947,38.805,46.775049999999815,61.63701000000001,306.02106100001,12729.122,1.5883780440664863,1.1429293155670166,20,1.0,2.931394962226215,1.0135143995285034,307.2,2.0,0.032768,309.232768,0.0065735853711337,200000,HeavyDuplication_50,0.1,200000,,,,,
BucketOccupancy,2000000,200000,0.1,68415.50490938645,29.233139514923096,0.19722,0.0,0.2,0.4,0.128,0.179,0.0,0.821,0.195596,0.14,0.0,0.1968316421619383,0.1968510197311605,14.382447975,12.323,21.42,32.124020000000016,102.89606500001064,144010.807,2.6068343747464104,1.167649745941162,20,1.0,2.9309568776911696,1.0203807353973389,307.2,2.0,0.032768,309.232768,0.0065735853711337,200000,HeavyDuplication_50,0.1,200000,2000000.0,1520347.0,8192.0,269.7744140625,951.0
FIFO,2000000,500000,0.25,6954.794486661447,287.5714018344879,0.40346,0.2,0.4,0.6,0.006,0.2878,0.0,0.7122,0.413718,0.35,0.0,0.4033133153862083,0.4137978303125676,143.204852858,181.889,203.749,281.41,698.4591680000275,11523.354,1.547152384146375,1.1110405921936035,20,1.0,2.93114621476047,1.0096240043640137,768.0,5.0,0.032768,773.032768,0.0065104200084827,500000,HeavyDuplication_50,0.25,500000,,,,,
Reservoir,2000000,500000,0.25,634083.3816659629,3.1541593074798584,0.4080399999999999,0.2,0.4,0.6,0.006,0.325,0.0,0.675,0.414542,0.35,0.0,0.4077448747152619,0.4151549130507494,1.425155127,0.974,2.501,3.147,12.053003000000492,3987.548,3.231006160164271,1.1258028745651243,20,1.0,2.9314013463224504,1.0151721239089966,768.0,5.0,0.032768,773.032768,0.0065104200084827,500000,HeavyDuplication_50,0.25,500000,,,,,
Stream-LSH,2000000,500000,0.25,6998.051324116291,285.79384565353394,0.40346,0.2,0.4,0.6,0.006,0.2878,0.0,0.7122,0.413718,0.35,0.0,0.4033133153862083,0.4137978303125676,142.287725678,181.963,199.485,268.3361100000001,691.8550520000085,8838.466,1.4746740271373855,1.1110405921936035,20,1.0,2.93114621476047,1.0096240043640137,768.0,5.0,0.032768,773.032768,0.0065104200084827,500000,HeavyDuplication_50,0.25,500000,,,,,
BucketOccupancy,2000000,500000,0.25,48118.23387814125,41.56428527832031,0.4992399999999999,0.2,0.5,0.8,0.0042,0.5144,0.0,0.4856,0.4907979999999999,0.37,0.0,0.4994615862497411,0.4942111511077359,20.4907269875,17.088,26.504,42.937,152.76224300003983,713550.28,2.5126989700374533,1.1348323822021484,20,1.0,2.930721729377692,1.02314555644989,768.0,5.0,0.032768,773.032768,0.0065104200084827,500000,HeavyDuplication_50,0.25,500000,2000000.0,462993.0,8192.0,1012.0947265625,3543.0
FIFO,2000000,1000000,0.5,5241.337320462304,381.58200430870056,0.6832199999999999,0.5,0.7,0.9,0.0,0.5602,0.0,0.4398,0.695146,0.64,0.0,0.6828950093186995,0.6953417792314251,190.1721323325,332.9865,390.8940499999998,490.97202,903.4690570000092,3996.063,1.4744502254595908,1.1076226234436035,20,1.0,2.930752148055878,1.0169472694396973,1536.0,10.0,0.032768,1546.032768,0.0064893631025548,1000000,HeavyDuplication_50,0.5,1000000,,,,,
Reservoir,2000000,1000000,0.5,629064.7022792869,3.179323196411133,0.68714,0.5,0.7,0.9,0.0,0.5942,0.0,0.4058,0.694836,0.64,0.0,0.6868295713398219,0.6949086093877227,1.4306650035,0.933,2.714,4.989010000000009,12.647006000000983,6703.563,5.3472775991425605,1.1091241836547852,20,1.0,2.9303714547023416,1.0107789039611816,1536.0,10.0,0.032768,1546.032768,0.0064893631025548,1000000,HeavyDuplication_50,0.5,1000000,,,,,
Stream-LSH,2000000,1000000,0.5,5174.455292903116,386.5141134262085,0.6832199999999999,0.5,0.7,0.9,0.0,0.5602,0.0,0.4398,0.695146,0.64,0.0,0.6828950093186995,0.6953417792314251,192.5614826945,340.874,396.469,497.36004,922.5670080000014,13333.37,1.459072971244507,1.1076226234436035,20,1.0,2.930752148055878,1.0169472694396973,1536.0,10.0,0.032768,1546.032768,0.0064893631025548,1000000,HeavyDuplication_50,0.5,1000000,,,,,
BucketOccupancy,2000000,999999,0.4999995,41189.13143760135,48.556498527526855,0.99996,1.0,1.0,1.0,0.0,0.9994,1.0,0.0006,0.99999,1.0,0.0,1.0,0.9999972584187108,23.9898312595,17.231,26.04,53.723,191.14701800000296,1582401.58,3.117810922175149,0.0009765625,20,1.0,2.930645203539071,1.0191010236740112,1535.998464,9.99999,0.032768,1546.031222,0.0064893631236122,999999,HeavyDuplication_50,0.5,1000000,2000000.0,0.0,8192.0,1953.1240234375,8947.0
BucketOccupancy,2000000,1000000,0.5,42348.81063443927,47.22682809829712,0.99996,1.0,1.0,1.0,0.0,0.9994,1.0,0.0006,0.999992,1.0,0.0,1.0,1.0,23.313371874,17.007,31.163,43.49701000000001,190.32508200001345,1439243.766,2.557594519903569,0.0009765625,20,1.0,2.9306452330751167,1.0201202630996704,1536.0,10.0,0.032768,1546.032768,0.0064893631025548,1000000,HeavyDuplication_50,1.0,2000000,2000000.0,0.0,8192.0,1953.125,8947.0
FIFO (Oracle Upper Bound),2000000,2000000,1.0,750794.4840116441,2.6638448238372803,0.99996,1.0,1.0,1.0,0.0,0.9994,1.0,0.0006,0.9999900000000002,1.0,0.0,1.0,1.0,1.1442914585,0.697,2.021,8.234,12.453003000000493,20688.333,11.81348637015782,0.0009765625,20,1.0,2.930676590369161,1.011707782745361,3072.0,20.0,0.032768,3092.032768,0.0064788343148632,2000000,HeavyDuplication_50,1.0,2000000,,,,,
BucketOccupancy (Jaccard),2000000,20000,0.01,4915.05298519738,406.9132125377655,0.0197199999999999,0.0,0.0,0.1,0.8172,0.018,0.0,0.982,0.019368,0.0,0.1416,0.0196935183267757,0.019596823055602,202.641042338,195.456,284.9860499999998,382.17502,607.3730100000016,38475.667,1.955299504747872,1.22878897190094,20,1.0,2.932393138443074,1.033598780632019,30.72,0.2,0.032768,30.952768,0.0075201028870826,20000,HeavyDuplication_50,0.01,20000,2000000.0,1972046.0,8192.0,19.6689453125,62.0
BucketOccupancy (Jaccard),2000000,100000,0.05,1279.042674147454,1563.6694853305817,0.09476,0.0,0.1,0.2,0.362,0.0868,0.0,0.9132,0.095552,0.06,0.0,0.09490577759370471,0.0968463590429688,803.993076565,793.937,1106.5310999999997,1339.73202,1886.8213230000529,78412.424,1.6874538156050165,1.1875600814819336,20,1.0,2.931591744852599,1.026428461074829,153.6,1.0,0.032768,154.632768,0.00667884312851465,100000,HeavyDuplication_50,0.05,100000,2000000.0,1872161.0,8192.0,101.49609375,395.0
BucketOccupancy (Jaccard),2000000,200000,0.1,522.813095994017,3825.4588787555695,0.19175999999999999,0.0,0.2,0.4,0.1178,0.1648,0.0,0.8352,0.193518,0.14,0.0,0.19144750465934976,0.19513753142537552,1984.0927374394998,2017.526,2752.33005,3250.19908,4053.6262540000416,145439.16,1.610982500349438,1.1809229850769043,20,1.0,2.930832671635141,1.0284979343414307,307.2,2.0,0.032768,309.232768,0.006573585371133761,200000,HeavyDuplication_50,0.1,200000,2000000.0,1749013.0,8192.0,211.798828125,920.0
BucketOccupancy (Jaccard),2000000,500000,0.25,195.6346722740888,10223.136710643768,0.466,0.2,0.5,0.7,0.012,0.4714,0.0,0.5286,0.47075199999999995,0.34,0.0,0.46707392834955475,0.47908036397233195,5287.3581143615,5710.783,8057.654899999997,9300.742390000001,11261.51354800009,502713.373,1.628628226637223,1.126228928565979,20,1.0,2.930891992923971,1.0366631746292114,768.0,5.0,0.032768,773.032768,0.006510420008482745,500000,HeavyDuplication_50,0.25,500000,2000000.0,1154118.0,8192.0,614.2763671875,2533.0
BucketOccupancy (Jaccard),2000000,1000000,0.5,125.81694566799086,15896.109934806824,0.9999600000000001,1.0,1.0,1.0,0.0,0.9994,1.0,0.0006,0.999992,1.0,0.0,1.0,1.0,8219.375320465999,8579.156,14784.331649999995,17512.980970000004,22183.784993000165,1963857.133,2.041340776412039,0.0009765625,20,1.0,2.9306452330751167,1.0201202630996704,1536.0,10.0,0.032768,1546.032768,0.006489363102554887,1000000,HeavyDuplication_50,0.5,1000000,2000000.0,9.0,8192.0,1953.1162109375,8947.0
