policy,stream_size,kept,retention_rate,throughput_items_per_sec,total_time_s,recall@10_mean,recall@10_p10,recall@10_p50,recall@10_p90,recall@10_zero_frac,recall@1_mean,recall@1_p10,recall@1_zero_frac,recall@100_mean,recall@100_p10,recall@100_zero_frac,coverage@10,coverage@100,mean_us,p50_us,p95_us,p99_us,p999_us,max_us,tail_ratio,k_center_radius,clusters_covered,coverage_fraction,cluster_entropy,mean_intra_set_distance,embeddings_mb,hash_metadata_mb,bucket_counts_mb,total_mb,overhead_fraction,kept_set_size,stream,budget_fraction,budget_B,policy_seen,policy_discarded,policy_active_buckets,policy_mean_bucket_occupancy,policy_max_bucket_occupancy
Stream-LSH,1000000,100000,0.1,60650.58671140738,16.487886667251587,0.09065999999999999,0.0,0.1,0.2,0.382,0.0,0.0,1.0,0.09829199999999999,0.06,0.0,0.09047421826465106,0.09830762187014226,16.309421866999998,17.213,19.42604999999993,27.328,108.35923700003885,2394.381,1.587637250915006,1.1785118579864502,20,1.0,2.942393078590641,1.019155502319336,153.6,1.0,0.032768,154.632768,0.00667884312851465,100000,CleanStream_0,0.1,100000,,,,,
BucketOccupancy,1000000,100000,0.1,72442.60181908256,13.80403208732605,0.18858000000000003,0.1,0.2,0.3,0.0,0.9988,1.0,0.0012,0.10636399999999999,0.06,0.0,0.18788569061917582,0.10616773542643926,13.587684887,11.991,22.471,31.721,97.16803400000558,1165.726,2.64540071720457,1.1740909814834595,20,1.0,2.9431549731933755,1.0225162506103516,153.6,1.0,0.032768,154.632768,0.00667884312851465,100000,CleanStream_0,0.1,100000,1000000.0,840321.0,8192.0,97.65625,347.0
FIFO,1000000,250000,0.25,18426.576990011963,54.26943922042847,0.22574,0.1,0.2,0.4,0.0706,0.0004,0.0,0.9996,0.24720599999999998,0.19,0.0,0.22592669289708014,0.24754011618821503,53.954650551,68.204,80.048,92.884,344.01921200003477,1213.396,1.3618556096416632,1.162778377532959,20,1.0,2.943407179277293,1.015769124031067,384.0,2.5,0.032768,386.532768,0.006552531142715434,250000,CleanStream_0,0.25,250000,,,,,
Reservoir,1000000,250000,0.25,716923.5712991545,1.3948488235473633,0.24911999999999998,0.1,0.2,0.4,0.0616,0.2474,0.0,0.7526,0.24947200000000003,0.19,0.0,0.24864361151377096,0.2495195378790579,1.248012495,0.943,2.179,2.492,12.272003000000492,998.274,2.6426299045599153,1.149130940437317,20,1.0,2.9434583316812044,1.0190802812576294,384.0,2.5,0.032768,386.532768,0.006552531142715434,250000,CleanStream_0,0.25,250000,,,,,
Stream-LSH,1000000,250000,0.25,18402.43951803564,54.34062147140503,0.22574,0.1,0.2,0.4,0.0706,0.0004,0.0,0.9996,0.24720599999999998,0.19,0.0,0.22592669289708014,0.24754011618821503,54.017071576,67.9,80.681,94.42309000000009,355.2360580000095,10240.674,1.3906198821796771,1.162778377532959,20,1.0,2.943407179277293,1.015769124031067,384.0,2.5,0.032768,386.532768,0.006552531142715434,250000,CleanStream_0,0.25,250000,,,,,
BucketOccupancy,1000000,250000,0.25,61790.09337642003,16.183824062347412,0.32256,0.2,0.3,0.5,0.0,0.999,1.0,0.001,0.25290999999999997,0.19,0.0,0.32188858977013873,0.2535770781871568,15.947825726,13.226,24.66404999999993,34.596,137.83703100000508,150440.954,2.6157568425827913,1.1428557634353638,20,1.0,2.9429844832110708,1.023625135421753,384.0,2.5,0.032768,386.532768,0.006552531142715434,250000,CleanStream_0,0.25,250000,1000000.0,635293.0,8192.0,244.140625,888.0
FIFO,1000000,500000,0.5,9972.928078256351,100.27145409584045,0.4518400000000001,0.3,0.5,0.6,0.0024,0.0006,0.0,0.9994,0.49479600000000007,0.43,0.0,0.45158417891903085,0.4952282777660499,99.790180524,155.6965,205.796,253.11304000000004,836.6694020000659,12506.832,1.6256822728834626,1.147763967514038,20,1.0,2.942802611061029,1.0160341262817383,768.0,5.0,0.032768,773.032768,0.006510420008482745,500000,CleanStream_0,0.5,500000,,,,,
Reservoir,1000000,500000,0.5,752455.8439640964,1.328981637954712,0.49838000000000005,0.3,0.5,0.7,0.0006,0.4966,0.0,0.5034,0.4992,0.43,0.0,0.4988403396148271,0.49945031295150416,1.179504285,0.879,2.205,2.515,11.311006000000983,1140.067,2.861205915813424,1.1186094284057617,20,1.0,2.943039726514618,1.0165385007858276,768.0,5.0,0.032768,773.032768,0.006510420008482745,500000,CleanStream_0,0.5,500000,,,,,
Stream-LSH,1000000,500000,0.5,10500.629836905744,95.23238277435303,0.4518400000000001,0.3,0.5,0.6,0.0024,0.0006,0.0,0.9994,0.49479600000000007,0.43,0.0,0.45158417891903085,0.4952282777660499,94.783295481,159.445,197.412,222.25008000000008,508.9100080000013,5127.022,1.393898083978802,1.147763967514038,20,1.0,2.942802611061029,1.0160341262817383,768.0,5.0,0.032768,773.032768,0.006510420008482745,500000,CleanStream_0,0.5,500000,,,,,
BucketOccupancy,1000000,500000,0.5,57989.48331727954,17.244506120681763,0.5447,0.3,0.5,0.8,0.0,0.9994,1.0,0.0006,0.49793000000000004,0.4,0.0,0.5449161317042867,0.49997121339646283,16.999469388,13.74,25.682,34.86201000000001,126.58817400002852,254942.9,2.5372641921397387,1.116874098777771,20,1.0,2.9429804406225166,1.0256246328353882,768.0,5.0,0.032768,773.032768,0.006510420008482745,500000,CleanStream_0,0.5,500000,1000000.0,358782.0,8192.0,488.28125,1871.0
BucketOccupancy,1000000,1000000,1.0,58645.45829229392,17.051618814468384,0.99998,1.0,1.0,1.0,0.0,0.999,1.0,0.001,0.999994,1.0,0.0,1.0,1.0,16.817251011,14.12,18.409,34.545,144.1280220000036,346933.449,2.446529745042493,0.001035800902172923,20,1.0,2.942685480415691,1.0150409936904907,1536.0,10.0,0.032768,1546.032768,0.006489363102554887,1000000,CleanStream_0,1.0,1000000,1000000.0,0.0,8192.0,976.5625,4424.0
FIFO (Oracle Upper Bound),1000000,1000000,1.0,1083683.554265771,0.9227786064147949,0.99998,1.0,1.0,1.0,0.0,0.999,1.0,0.001,0.999994,1.0,0.0,1.0,1.0,0.767944042,0.649,1.072,1.924,10.059002000000328,2852.321,2.9645608628659477,0.001035800902172923,20,1.0,2.942685480415691,1.0150409936904907,1536.0,10.0,0.032768,1546.032768,0.006489363102554887,1000000,CleanStream_0,1.0,1000000,,,,,
