Method,Parameters,Build_Time_s,probes,recall,qps,p50_us,p95_us,p99_us,dist_err_ratio
Layered LSH (ScaNN-inspired),"L=50, probes=50",2.2601046562194824,50,0.9511400000000001,119.92841840118336,7839.2545,17004.450349999985,20835.86275,1.0004048
Layered LSH (ScaNN-inspired),"L=50, probes=100",2.2601046562194824,100,0.96596,83.38167456304156,11764.7285,22334.919799999996,26459.32156,1.0000918
Layered LSH (ScaNN-inspired),"L=50, probes=500",2.2601046562194824,500,0.9716,41.0580542822541,24687.068,39037.87624999999,44250.458430000006,1.0000236
Layered LSH (ScaNN-inspired),"L=50, probes=1000",2.2601046562194824,1000,0.97165,30.459594404493856,32870.609,50569.74524999999,67564.31586000005,1.0000224
