Dataset,probes,recall,qps,avg_total_query_time_s,avg_lsh_time_s,avg_hash_table_time_s,avg_distance_time_s,avg_num_candidates,avg_unique_candidates
SIFT1M,50,0.97291,229.69683557814287,0.004326053496999996,3.484222772727289e-05,0.0009882061107272747,0.003302682631909108,95301.63254545454,63524.478818181815
SIFT1M,100,0.99093,147.52473892597664,0.0067397729559999855,0.0002702701935454552,0.001629998302636368,0.004839074401272727,151573.23963636364,89473.19990909091
SIFT1M,500,0.9990100000000001,72.29376613661194,0.013817466002727216,0.00029941963636363647,0.004089019742545464,0.009428432145818186,427248.84754545457,175674.82418181817
SIFT1M,1000,0.99913,55.76129111259889,0.017966232848454645,0.00034005416063636506,0.005747524338727263,0.0118779478922727,652067.7774545455,222131.17381818182
SIFT1M,2000,0.9991700000000001,42.574035313122316,0.02342255835536367,0.00041989694590909016,0.007994522044181851,0.015007243859545428,981059.0728181818,272065.68254545453
