Method,Parameters,Build_Time_s,Index_Size_MB,recall,qps,p50_us,p95_us,p99_us,dist_err_ratio
Vanilla LSH (FAISS),nbits=128,0.7927086353302002,15.321377754211426,0.12897999999999998,870.7557363650972,995.6255,1440.7283499999996,5342.247130000034,1.2781724
Vanilla LSH (FAISS),nbits=256,1.5339529514312744,30.642666816711426,0.23861,352.85119971769717,2558.3345,3774.8088499999994,8976.683410000009,1.1543545
Vanilla LSH (FAISS),nbits=512,3.0495645999908447,61.285244941711426,0.38537,185.37896072802397,4956.52,7146.020199999977,16099.415760000022,1.0770041
Vanilla LSH (FAISS),nbits=1024,6.149888753890991,122.57040119171143,0.5196200000000001,62.80946886418299,11116.164,41744.55254999999,63843.88988000006,1.0415884
Vanilla LSH (FAISS),nbits=2048,13.017302751541138,245.14071369171143,0.6383599999999999,40.31718882168742,21218.166,44293.95985,53186.11699000005,1.0207008
Vanilla LSH (FAISS),nbits=4096,253.39934158325195,490.2813386917114,0.7341300000000001,20.11300101054709,45015.892,72655.6733,81987.34779,1.010567
FALCONN,"L=10, probes=10",0.6247358322143555,70.125,0.68143,948.1776651689028,849.4465,2691.1621999999998,3371.921010000005,1.0133191
FALCONN,"L=10, probes=50",0.6247358322143555,70.125,0.9075300000000001,337.18153663401205,2692.6295,6349.040299999999,7679.665780000003,1.0019258
FALCONN,"L=10, probes=100",0.6247358322143555,70.125,0.95635,230.21749766644328,4059.412,8691.332649999998,10503.181740000002,1.000735
FALCONN,"L=10, probes=500",0.6247358322143555,70.125,0.9951599999999998,105.13056607611189,9415.7155,16168.442099999998,18409.778440000002,1.0000396
FALCONN,"L=10, probes=1000",0.6247358322143555,70.125,0.9984,77.8816740502943,12926.751,20385.611249999994,22841.945480000002,1.0000111
FALCONN,"L=50, probes=50",1.6432132720947266,154.30859375,0.97291,239.23388069318761,3929.7935,8472.1096,10152.157380000004,1.0003867
FALCONN,"L=50, probes=100",1.6432132720947266,154.30859375,0.99093,157.93667655915496,6172.229,11843.685,13773.420920000006,1.0000738
FALCONN,"L=50, probes=500",1.6432132720947266,154.30859375,0.9990100000000001,75.62375297606346,13342.299,21648.627849999993,24330.25051,1.0000027
FALCONN,"L=50, probes=1000",1.6432132720947266,154.30859375,0.99913,58.29592904385469,17392.424,26331.603,29251.279850000003,1.0000015
FALCONN,"L=100, probes=100",2.801769495010376,108.375,0.99525,146.54737863900658,6653.347,12674.685099999993,14625.341500000008,1.0000538
FALCONN,"L=100, probes=500",2.801769495010376,108.375,0.9991700000000001,68.32270977299429,14776.672,23538.025849999998,26248.27283,1.000002
FALCONN,"L=100, probes=1000",2.801769495010376,108.375,0.9993300000000002,52.61981530853893,19298.621,28978.039749999996,32264.921589999998,1.0
HNSW,ef=10,30.6651668548584,629.9639434814453,0.7068399999999999,37314.15544950292,25.2815,38.80864999999998,51.88706,1.0146012
HNSW,ef=20,30.6651668548584,629.9639434814453,0.8385100000000001,24845.089068389632,38.905,54.585649999999994,70.56799000000015,1.0052791
HNSW,ef=40,30.6651668548584,629.9639434814453,0.92717,14650.796178032735,66.6975,88.49999999999999,132.25663,1.0018932
HNSW,ef=80,30.6651668548584,629.9639434814453,0.9747100000000001,8565.293802104155,116.48,148.37249999999997,219.13515,1.0004598
HNSW,ef=160,30.6651668548584,629.9639434814453,0.99323,4711.742012780272,215.276,264.52019999999993,355.9811900000001,1.0000542
HNSW,ef=320,30.6651668548584,629.9639434814453,0.99823,2580.2576292340914,397.255,485.33849999999995,585.64888,1.0000046
HNSW,ef=640,30.6651668548584,629.9639434814453,0.99923,1367.16792979216,747.8515,918.9419499999999,1104.7229100000004,1.0
