Method,Parameters,Build_Time_s,Index_Size_MB,recall,qps,p50_us,p95_us,p99_us,dist_err_ratio
Vanilla LSH (FAISS),nbits=128,0.7927086353302002,15.321377754211426,0.1289799999999999,870.7557363650972,995.6255,1440.7283499999996,5342.247130000034,1.2781724
Vanilla LSH (FAISS),nbits=256,1.5339529514312744,30.642666816711422,0.23861,352.8511997176972,2558.3345,3774.80885,8976.683410000009,1.1543545
Vanilla LSH (FAISS),nbits=512,3.0495645999908447,61.28524494171143,0.38537,185.378960728024,4956.52,7146.020199999977,16099.415760000022,1.0770041
Vanilla LSH (FAISS),nbits=1024,6.149888753890991,122.57040119171144,0.5196200000000001,62.80946886418299,11116.164,41744.55254999999,63843.88988000006,1.0415884
Vanilla LSH (FAISS),nbits=2048,13.017302751541138,245.14071369171145,0.6383599999999999,40.31718882168742,21218.166,44293.95985,53186.11699000005,1.0207008
Vanilla LSH (FAISS),nbits=4096,253.39934158325195,490.2813386917114,0.7341300000000001,20.11300101054709,45015.892,72655.6733,81987.34779,1.010567
