Method,Parameters,Build_Time_s,Index_Size_MB,recall,qps,p50_us,p95_us,p99_us,dist_err_ratio
HNSW,ef=10,30.6651668548584,629.9639434814453,0.7068399999999999,37314.15544950292,25.2815,38.80864999999998,51.88706,1.0146012
HNSW,ef=20,30.6651668548584,629.9639434814453,0.8385100000000001,24845.089068389632,38.905,54.58565,70.56799000000015,1.0052791
HNSW,ef=40,30.6651668548584,629.9639434814453,0.92717,14650.796178032737,66.6975,88.49999999999999,132.25663,1.0018932
HNSW,ef=80,30.6651668548584,629.9639434814453,0.97471,8565.293802104155,116.48,148.37249999999997,219.13515,1.0004598
HNSW,ef=160,30.6651668548584,629.9639434814453,0.99323,4711.742012780272,215.276,264.52019999999993,355.9811900000001,1.0000542
HNSW,ef=320,30.6651668548584,629.9639434814453,0.99823,2580.2576292340914,397.255,485.3385,585.64888,1.0000046
HNSW,ef=640,30.6651668548584,629.9639434814453,0.99923,1367.16792979216,747.8515,918.94195,1104.7229100000004,1.0
